"No","Phrase","ID","Title","URL","Name","PhraseYes","Contrast","Referent","ReferentCategory","Quantity","QuantType","HandsVisible","HandsMoving","HandsOccupied","WhichHand","HandShape","PinchType","PinkieCurl","PalmOrientation","MovementComplexity","MovementDirection","Comment"
9168,"huge_number","CNBC_20120315_080000_Mad_Money","Mad Money : CNBC : March 15, 2012 4:00am-5:00am EDT","http://archive.org/download/CNBC_20120315_080000_Mad_Money/CNBC_20120315_080000_Mad_Money.mp4?t=489/519&ignore=x.mp4","jim cramer","yes","no","cars and goods","cars","NA","NA","yes","yes","no","both","open","NA","NA","up",NA,NA,NA
2083,"huge_number","MSNBCW_20121018_020000_The_Last_Word","The Last Word : MSNBCW : October 17, 2012 7:00pm-8:00pm PDT","http://archive.org/download/MSNBCW_20121018_020000_The_Last_Word/MSNBCW_20121018_020000_The_Last_Word.mp4?t=2972/3002&ignore=x.mp4","lawrence o'donnell","yes","no","undecided voters","people","NA","NA","yes","yes","no","both","open","NA","NA","up",NA,NA,NA
6962,"huge_number","KCSM_20121203_020000_Inside_Washington","Inside Washington : KCSM : December 2, 2012 6:00pm-6:30pm PST","http://archive.org/download/KCSM_20121203_020000_Inside_Washington/KCSM_20121203_020000_Inside_Washington.mp4?t=1407/1437&ignore=x.mp4","nina totenberg","yes","no","things","other","NA","NA","yes","yes","no","left","open","NA","NA","down",NA,NA,NA
1549,"huge_number","CNNW_20111106_150000_Fareed_Zakaria_GPS","Fareed Zakaria GPS : CNNW : November 6, 2011 7:00am-8:00am PST","http://archive.org/download/CNNW_20111106_150000_Fareed_Zakaria_GPS/CNNW_20111106_150000_Fareed_Zakaria_GPS.mp4?t=3025/3055&ignore=x.mp4","fareed zakaria","yes","no","drop outs","other","NA","NA","yes","yes","no","right","open","NA","NA","down",NA,NA,"interesting high school levels gesture before"
2964,"huge_number","CSPAN2_20141030_010000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN2 : October 29, 2014 9:00pm-11:01pm EDT","http://archive.org/download/CSPAN2_20141030_010000_Key_Capitol_Hill_Hearings/CSPAN2_20141030_010000_Key_Capitol_Hill_Hearings.mp4?t=4940/4970&ignore=x.mp4","abdulaziz sager","yes","no","country","other","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
4677,"huge_number","CNN_20120118_140000_CNN_Newsroom","CNN Newsroom : CNN : January 18, 2012 9:00am-11:00am EST","http://archive.org/download/CNN_20120118_140000_CNN_Newsroom/CNN_20120118_140000_CNN_Newsroom.mp4?t=4755/4785&ignore=x.mp4","thelma gutierrez","yes","no","inches","other","5 inches","NA","yes","yes","right","both","open","NA","NA","inward",NA,NA,"but wears a glove, so can't do precision grap"
7220,"huge_number","SFGTV_20140428_053000","SFGTV : April 27, 2014 10:30pm-11:01pm PDT","http://archive.org/download/SFGTV_20140428_053000/SFGTV_20140428_053000.mp4?t=732/762&ignore=x.mp4","NA","yes","no","trucks, engines and ambulances","cars","90","NA","yes","yes","left","both","open","NA","NA","inward",NA,NA,NA
4211,"huge_number","CSPAN_20140918_220000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN : September 18, 2014 6:00pm-8:01pm EDT","http://archive.org/download/CSPAN_20140918_220000_Key_Capitol_Hill_Hearings/CSPAN_20140918_220000_Key_Capitol_Hill_Hearings.mp4?t=37/67&ignore=x.mp4","dana rohrabacher","yes","no","Americans","people","NA","NA","yes","yes","no","right","open","NA","NA","down",NA,NA,NA
2910,"huge_number","BLOOMBERG_20140925_050000_Countdown","Countdown : BLOOMBERG : September 25, 2014 1:00am-3:01am EDT","http://archive.org/download/BLOOMBERG_20140925_050000_Countdown/BLOOMBERG_20140925_050000_Countdown.mp4?t=2946/2976&ignore=x.mp4","chris jasper","yes","no","wide bodies??","other","NA","NA","yes","yes","no","right","open","NA","NA","down",NA,NA,"second hand is relatively still"
8330,"huge_number","KCSM_20131225_163000_China_Price_Watch","China Price Watch : KCSM : December 25, 2013 8:30am-9:01am PST","http://archive.org/download/KCSM_20131225_163000_China_Price_Watch/KCSM_20131225_163000_China_Price_Watch.mp4?t=380/410&ignore=x.mp4","joshua linder","yes","no","pig farms","other","NA","NA","yes","yes","both","NA","NA","NA","NA","NA",NA,NA,"CHECK"
6587,"huge_number","CSPAN_20100117_180000_C-SPAN_Weekend","C-SPAN Weekend : CSPAN : January 17, 2010 1:00pm-6:00pm EST","http://archive.org/download/CSPAN_20100117_180000_C-SPAN_Weekend/CSPAN_20100117_180000_C-SPAN_Weekend.mp4?t=1902/1932&ignore=x.mp4","lloyd blankfein","yes","no","NA","NA","NA","NA","yes","yes","no","right","open","NA","NA","down?",NA,NA,NA
5463,"huge_number","CNN_20130207_120000_Starting_Point","Starting Point : CNN : February 7, 2013 7:00am-9:00am EST","http://ia601702.us.archive.org/29/items/CNN_20130207_120000_Starting_Point/CNN_20130207_120000_Starting_Point.mp4?start=2035&end=2065&ignore=x.mp4","dick morris","yes","no","whites","people","8e+06","reference","yes","yes","no","right","open","NA","NA","down",NA,NA,"changed-link; discuss, switch"
9246,"huge_number","CSPAN2_20110212_000000_Close_Up","Close Up : CSPAN2 : February 11, 2011 7:00pm-8:00pm EST","http://archive.org/download/CSPAN2_20110212_000000_Close_Up/CSPAN2_20110212_000000_Close_Up.mp4?t=1058/1088&ignore=x.mp4","darrell west","yes","no","foreign doctors needing citizenship","people","NA","NA","yes","yes","no","right","open","NA","NA","inward",NA,NA,"negated"
2348,"huge_number","CURRENT_20130605_000000_Viewpoint","Viewpoint : CURRENT : June 4, 2013 5:00pm-6:01pm PDT","http://archive.org/download/CURRENT_20130605_000000_Viewpoint/CURRENT_20130605_000000_Viewpoint.mp4?t=2850/2880&ignore=x.mp4","carolyn miles","yes","no","refugees in Syria","people","1.5e+08","NA","yes","yes","no","right","open","NA","NA","inward",NA,NA,"CHECK"
4735,"huge_number","WJLA_20110225_120000_ABC_News_Good_Morning_America","ABC News Good Morning America : WJLA : February 25, 2011 7:00am-9:00am EST","http://ia902208.us.archive.org/23/items/WJLA_20110225_120000_ABC_News_Good_Morning_America/WJLA_20110225_120000_ABC_News_Good_Morning_America.mp4?start=6652&end=6682&ignore=x.mp4","chris connelly","yes","no","Oscar awards","other","NA","NA","yes","yes","no","both","open","NA","NA","up",NA,NA,"changed-link"
8513,"huge_number","CSPAN2_20131104_021000_After_Words","After Words : CSPAN2 : November 3, 2013 9:10pm-9:56pm EST","http://archive.org/download/CSPAN2_20131104_021000_After_Words/CSPAN2_20131104_021000_After_Words.mp4?t=889/919&ignore=x.mp4","s. lochlann jain","yes","no","people","people","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,"second occurrence in there"
5972,"huge_number","WRC_20101011_110000_Today","Today : WRC : October 11, 2010 7:00am-11:00am EDT","http://archive.org/download/WRC_20101011_110000_Today/WRC_20101011_110000_Today.mp4?t=7896/7926&ignore=x.mp4","jean chatzky","yes","no","balance transfer offers","other","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
6590,"huge_number","CSPAN_20100726_160000_U.S._House_of_Representatives","U.S. House of Representatives : CSPAN : July 26, 2010 12:00pm-5:00pm EDT","http://archive.org/download/CSPAN_20100726_160000_U.S._House_of_Representatives/CSPAN_20100726_160000_U.S._House_of_Representatives.mp4?t=11649/11679&ignore=x.mp4","cliff stearns","yes","no","manufacturing companies","people","NA","NA","yes","yes","no","both","open","NA","NA","down",NA,NA,NA
1279,"huge_number","WBAL_20110206_150000_Meet_the_Press","Meet the Press : WBAL : February 6, 2011 10:00am-11:00am EST","http://archive.org/download/WBAL_20110206_150000_Meet_the_Press/WBAL_20110206_150000_Meet_the_Press.mp4?t=1341/1371&ignore=x.mp4","john kerry","yes","no","people","people","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
9631,"huge_number","CSPAN2_20121209_170000_Book_TV_After_Words","Book TV After Words : CSPAN2 : December 9, 2012 12:00pm-1:00pm EST","http://archive.org/download/CSPAN2_20121209_170000_Book_TV_After_Words/CSPAN2_20121209_170000_Book_TV_After_Words.mp4?t=683/713&ignore=x.mp4","ingrid wickelgren","yes","no","things","other","NA","NA","yes","yes","no","both","open","NA","NA","down",NA,NA,NA
3489,"huge_number","CNBC_20120502_080000_Worldwide_Exchange","Worldwide Exchange : CNBC : May 2, 2012 4:00am-6:00am EDT","http://archive.org/download/CNBC_20120502_080000_Worldwide_Exchange/CNBC_20120502_080000_Worldwide_Exchange.mp4?t=1033/1063&ignore=x.mp4","stephen sedgwick","yes","no","VW Passats","cars","NA","NA","yes","yes","no","both","open","NA","NA","outward",NA,NA,"discuss; graph at the same time"
7629,"huge_number","WUSA_20111031_223000_CBS_Evening_News_With_Scott_Pelley","CBS Evening News With Scott Pelley : WUSA : October 31, 2011 6:30pm-7:00pm EDT","http://archive.org/download/WUSA_20111031_223000_CBS_Evening_News_With_Scott_Pelley/WUSA_20111031_223000_CBS_Evening_News_With_Scott_Pelley.mp4?t=603/633&ignore=x.mp4","jim axelrod","yes","no","down trees","other","NA","NA","yes","yes","right","left","open","NA","NA","down",NA,NA,"gloves"
7819,"huge_number","SFGTV2_20120528_043000","SFGTV2 : May 27, 2012 9:30pm-10:00pm PDT","http://archive.org/download/SFGTV2_20120528_043000/SFGTV2_20120528_043000.mp4?t=196/226&ignore=x.mp4","dennis ….","yes","no","SF city budget","financial","6.8e+09","NA","yes","yes","no","left","index_finger_point","NA","NA","NA",NA,NA,"points to the former location where he put the number; DISCUSS"
2156,"huge_number","MSNBCW_20121127_140000_The_Daily_Rundown","The Daily Rundown : MSNBCW : November 27, 2012 6:00am-7:00am PST","http://archive.org/download/MSNBCW_20121127_140000_The_Daily_Rundown/MSNBCW_20121127_140000_The_Daily_Rundown.mp4?t=1984/2014&ignore=x.mp4","becky quick","yes","no","stock numbers","financial","NA","NA","yes","yes","right","right","difficult_to_determine","NA","NA","down",NA,NA,NA
830,"huge_number","MSNBC_20100505_170000_Andrea_Mitchell_Reports","Andrea Mitchell Reports : MSNBC : May 5, 2010 1:00pm-2:00pm EDT","http://archive.org/download/MSNBC_20100505_170000_Andrea_Mitchell_Reports/MSNBC_20100505_170000_Andrea_Mitchell_Reports.mp4?t=3082/3112&ignore=x.mp4","andrea mitchell","yes","no","people","people","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
1810,"huge_number","MSNBC_20100917_010000_The_Rachel_Maddow_Show","The Rachel Maddow Show : MSNBC : September 16, 2010 9:00pm-10:00pm EDT","http://archive.org/download/MSNBC_20100917_010000_The_Rachel_Maddow_Show/MSNBC_20100917_010000_The_Rachel_Maddow_Show.mp4?t=303/333&ignore=x.mp4","rachel maddow","yes","no","women republic candidates","people","NA","NA","yes","yes","right","both","open","NA","NA","inward",NA,NA,NA
5876,"huge_number","CSPAN2_20141015_183000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN2 : October 15, 2014 2:30pm-4:31pm EDT","http://archive.org/download/CSPAN2_20141015_183000_Key_Capitol_Hill_Hearings/CSPAN2_20141015_183000_Key_Capitol_Hill_Hearings.mp4?t=50/80&ignore=x.mp4","joshua epstein","yes","no","spheres","other","NA","NA","yes","yes","no","left","open","NA","NA","towards_body",NA,NA,"CHECK"
5721,"huge_number","CSPAN2_20140307_210000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN2 : March 7, 2014 4:00pm-6:01pm EST","http://archive.org/download/CSPAN2_20140307_210000_Key_Capitol_Hill_Hearings/CSPAN2_20140307_210000_Key_Capitol_Hill_Hearings.mp4?t=3150/3180&ignore=x.mp4","sherrod brown","yes","no","moderate, low income Americans","people","NA","NA","yes","yes","no","both","NA","NA","NA","open",NA,NA,NA
9827,"huge_number","MSNBCW_20130828_230000_Hardball_With_Chris_Matthews","Hardball With Chris Matthews : MSNBCW : August 28, 2013 4:00pm-5:01pm PDT","http://archive.org/download/MSNBCW_20130828_230000_Hardball_With_Chris_Matthews/MSNBCW_20130828_230000_Hardball_With_Chris_Matthews.mp4?t=2132/2162&ignore=x.mp4","chris matthews","yes","no","voters","people","NA","NA","yes","yes","no","right","pinch","difficult_to_determine","NA","NA",NA,NA,NA
8911,"huge_number","WMAR_20110405_130000_ABC2_News_Good_Morning_Maryland_9AM","ABC2 News Good Morning Maryland 9AM : WMAR : April 5, 2011 9:00am-10:00am EDT","http://archive.org/download/WMAR_20110405_130000_ABC2_News_Good_Morning_Maryland_9AM/WMAR_20110405_130000_ABC2_News_Good_Morning_Maryland_9AM.mp4?t=136/166&ignore=x.mp4","jeremy hubbard","yes","no","calories numbers","people","NA","NA","yes","yes","left","right","open","NA","NA","front",NA,NA,NA
1250,"huge_number","WHUT_20100816_100000_Charlie_Rose","Charlie Rose : WHUT : August 16, 2010 6:00am-7:00am EDT","http://archive.org/download/WHUT_20100816_100000_Charlie_Rose/WHUT_20100816_100000_Charlie_Rose.mp4?t=216/246&ignore=x.mp4","christopher hitchens","yes","no","Americans and Isreales","people","NA","NA","yes","yes","right","both","open","NA","NA","inward",NA,NA,NA
5479,"huge_number","MSNBCW_20130529_100000_Morning_Joe","Morning Joe : MSNBCW : May 29, 2013 3:00am-6:01am PDT","http://archive.org/download/MSNBCW_20130529_100000_Morning_Joe/MSNBCW_20130529_100000_Morning_Joe.mp4?t=9591/9621&ignore=x.mp4","jonathan bush","yes","no","unintended consequences","other","NA","NA","yes","yes","no","left","open","NA","NA","CHECK",NA,NA,NA
786,"huge_number","KRCB_20120626_050000_PBS_NewsHour","PBS NewsHour : KRCB : June 25, 2012 10:00pm-11:00pm PDT","http://archive.org/download/KRCB_20120626_050000_PBS_NewsHour/KRCB_20120626_050000_PBS_NewsHour.mp4?t=1891/1921&ignore=x.mp4","marcia coyle","yes","no","people","people","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
4212,"huge_number","CSPAN_20140919_030000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN : September 18, 2014 11:00pm-1:01am EDT","http://archive.org/download/CSPAN_20140919_030000_Key_Capitol_Hill_Hearings/CSPAN_20140919_030000_Key_Capitol_Hill_Hearings.mp4?t=7170/7200&ignore=x.mp4",NA,"yes","no","votes","votes","NA","NA","yes","yes","no","right","open","NA","NA","inward",NA,NA,NA
9826,"huge_number","FOXNEWSW_20130828_210000_The_Five","The Five : FOXNEWSW : August 28, 2013 2:00pm-3:01pm PDT","http://archive.org/download/FOXNEWSW_20130828_210000_The_Five/FOXNEWSW_20130828_210000_The_Five.mp4?t=273/303&ignore=x.mp4","andrea tantaros","yes","no","Black Americans with high school diplomas","people","85","percent","yes","yes","no","right","open","difficult_to_determine","NA","NA",NA,NA,NA
5834,"huge_number","CNBC_20140806_100000_Squawk_Box","Squawk Box : CNBC : August 6, 2014 6:00am-9:01am EDT","http://archive.org/download/CNBC_20140806_100000_Squawk_Box/CNBC_20140806_100000_Squawk_Box.mp4?t=2021/2051&ignore=x.mp4","steve liesman","yes","no","subsidiaries","other","NA","NA","yes","yes","no","left","open","NA","NA","towards_body",NA,NA,NA
6585,"huge_number","CSPAN_20091204_070000_Today_in_Washington","Today in Washington : CSPAN : December 4, 2009 2:00am-6:00am EST","http://archive.org/download/CSPAN_20091204_070000_Today_in_Washington/CSPAN_20091204_070000_Today_in_Washington.mp4?t=1019/1049&ignore=x.mp4","barack obama","yes","no","jobs","jobs","NA","NA","yes","yes","right","left","open","NA","NA","CHECK",NA,NA,NA
8794,"huge_number","CNBC_20120626_220000_Mad_Money","Mad Money : CNBC : June 26, 2012 6:00pm-7:00pm EDT","http://archive.org/download/CNBC_20120626_220000_Mad_Money/CNBC_20120626_220000_Mad_Money.mp4?t=1993/2023&ignore=x.mp4","jim cramer","yes","no","orders/stock price","financial","NA","NA","yes","yes","no","both","open","NA","NA","up",NA,NA,NA
346,"huge_number","FOXNEWSW_20140606_020000_Hannity","Hannity : FOXNEWSW : June 5, 2014 7:00pm-8:01pm PDT","http://archive.org/download/FOXNEWSW_20140606_020000_Hannity/FOXNEWSW_20140606_020000_Hannity.mp4?t=2435/2465&ignore=x.mp4","jonathan gilliam","yes","no","dead veterans going unnoticed","people","40","NA","yes","yes","no","left","open","NA","NA","inward",NA,NA,NA
4880,"huge_number","CSPAN2_20110309_040000_Capital_News_Today","Capital News Today : CSPAN2 : March 8, 2011 11:00pm-2:00am EST","http://archive.org/download/CSPAN2_20110309_040000_Capital_News_Today/CSPAN2_20110309_040000_Capital_News_Today.mp4?t=9196/9226&ignore=x.mp4","randy forbes","yes","no","democrats","people","NA","NA","yes","yes","no","right","pinch","precision_grip","NA","NA",NA,NA,"moves index finger and thumb together"
5017,"huge_number","CSPAN_20100114_220000_U.S._House_of_Representatives","U.S. House of Representatives : CSPAN : January 14, 2010 5:00pm-8:00pm EST","http://archive.org/download/CSPAN_20100114_220000_U.S._House_of_Representatives/CSPAN_20100114_220000_U.S._House_of_Representatives.mp4?t=1363/1393&ignore=x.mp4","barack obama","yes","no","Americans","people","NA","NA","yes","yes","no","right","open","NA","NA","down",NA,NA,"very significant since he's left-handed"
3563,"huge_number","CSPAN2_20120330_210000_U.S._Senate","U.S. Senate : CSPAN2 : March 30, 2012 5:00pm-7:00pm EDT","http://archive.org/download/CSPAN2_20120330_210000_U.S._Senate/CSPAN2_20120330_210000_U.S._Senate.mp4?t=2207/2237&ignore=x.mp4","frank verrastro","yes","no","gasoline","other","NA","NA","yes","yes","no","right","open","NA","NA","up",NA,NA,"discuss; moves up before"
7183,"huge_number","WMAR_20130819_100000_ABC2_News_Good_Morning_Maryland_6am","ABC2 News Good Morning Maryland 6am : WMAR : August 19, 2013 6:00am-6:30am EDT","http://archive.org/download/WMAR_20130819_100000_ABC2_News_Good_Morning_Maryland_6am/WMAR_20130819_100000_ABC2_News_Good_Morning_Maryland_6am.mp4?t=1669/1699&ignore=x.mp4","charley crowson","yes","no","security guards","people","NA","NA","yes","yes","left","both","open","NA","NA","up",NA,NA,NA
16,"tiny_number","SFGTV_20110506_140000","SFGTV : May 6, 2011 7:00am-7:30am PDT","http://archive.org/download/SFGTV_20110506_140000/SFGTV_20110506_140000.mp4?t=1562/1592&ignore=x.mp4","john barbie","yes","no",NA,NA,NA,NA,"yes","no","right","NA","NA","NA","NA","NA",NA,NA,"CHECK; he might make a small beat gesture up from the table"
34,"tiny_number","SFGTV_20150110_040000","SFGTV : January 9, 2015 8:00pm-8:31pm PST","http://archive.org/download/SFGTV_20150110_040000/SFGTV_20150110_040000.mp4?t=1267/1297&ignore=x.mp4","michael antonini","yes","no",NA,NA,NA,NA,"yes","no","both","NA","NA","NA","NA","NA",NA,NA,NA
37,"tiny_number","ALJAZAM_20150509_033000_Inside_Story","Inside Story : ALJAZAM : May 8, 2015 11:30pm-12:01am EDT","http://archive.org/download/ALJAZAM_20150509_033000_Inside_Story/ALJAZAM_20150509_033000_Inside_Story.mp4?t=306/336&ignore=x.mp4","ray suarez","yes","no",NA,NA,NA,NA,"yes","no","yes","NA","NA","NA","NA","NA",NA,NA,NA
44,"tiny_number","WTXF_20150612_080000_Fox_29_Morning_News_at_4a","Fox 29 Morning News at 4a : WTXF : June 12, 2015 4:00am-5:01am EDT","http://archive.org/download/WTXF_20150612_080000_Fox_29_Morning_News_at_4a/WTXF_20150612_080000_Fox_29_Morning_News_at_4a.mp4?t=1803/1833&ignore=x.mp4","chris murphy","yes","no",NA,NA,NA,NA,"yes","no","no","NA","NA","NA","NA","NA",NA,NA,"literal, body gesture"
47,"tiny_number","CNNW_20130405_010000_Piers_Morgan_Live","Piers Morgan Live : CNNW : April 4, 2013 6:00pm-7:00pm PDT","http://archive.org/download/CNNW_20130405_010000_Piers_Morgan_Live/CNNW_20130405_010000_Piers_Morgan_Live.mp4?t=2725/2755&ignore=x.mp4","piers morgan, penn jillette","yes","no",NA,NA,NA,NA,"yes","no","no","NA","NA","NA","NA","NA",NA,NA,NA
